"Date","TotalViews","UniqueViews"
"2026-02-20","25","16"
"2026-02-21","3","1"
"2026-02-22","1","1"
"2026-02-23","25","10"
"2026-02-24","24","10"
"2026-02-25","31","6"
"2026-02-26","39","13"
"2026-02-27","9","7"
"2026-02-28","7","5"
"2026-03-01","3","3"
"2026-03-02","14","7"
"2026-03-03","36","14"
"2026-03-04","36","16"
"2026-03-05","10","9"
"2026-03-06","45","27"
"2026-03-07","6","6"
"2026-03-08","1","1"
"2026-03-09","10","10"
"2026-03-10","43","18"
"2026-03-11","44","22"
"2026-03-12","68","11"
"2026-03-13","70","23"
"2026-03-14","21","4"
"2026-03-15","7","4"
"2026-03-16","20","12"
"2026-03-17","73","14"
"2026-03-18","41","9"
2026-03-19,99,6
2026-03-20,92,15
2026-03-21,63,2
2026-03-22,17,1
2026-03-23,16,4
2026-03-24,9,4
2026-03-25,13,6
2026-03-26,99,18
2026-03-27,146,52
2026-03-28,2,2
